category,sub_scenario,description,example_situation,typical_question,strong_hire_example
ownership,seeing_around_corners,"Anticipated problems or needs before they became urgent and took proactive action to address them.","Saw that our database would hit capacity limits in 6 months based on growth trends. Started the migration project early, finished smoothly before it became a crisis.","Tell me about a time you anticipated a problem.","Situation: I noticed WhatsApp's media storage was growing at 25% monthly but no one was monitoring projected capacity. At that rate, we'd hit storage limits in 7 months. This wasn't on anyone's radar because 7 months felt far away, but our procurement process for storage infrastructure took 5 months, and migration testing would need 2 months.

Task: I decided to raise the issue early even though it wasn't urgent, because by the time it was urgent, it would be too late.

Action: I built a projection model showing when we'd hit thresholds: 70% capacity (alert), 85% (critical), 100% (outage affecting 2 billion users). I mapped the timeline backwards: procurement (5 months) + migration (2 months) + buffer (1 month) = we needed to start in 1 month, not 7. I presented to my manager and infrastructure lead with the timeline and recommended actions. I proposed starting procurement immediately and volunteered to lead capacity planning. I also built monitoring to track growth rate changes weekly in case my projections were wrong.

Result: Started procurement 6 months before we would have hit limits. New storage capacity arrived with 6 weeks to spare. When growth actually exceeded my projections due to a viral video trend, we had headroom. The infrastructure lead said my early warning prevented what would have been a massive incident affecting billions of users. I now do quarterly 'what's growing' reviews for all systems I own, and this practice has been adopted across WhatsApp infrastructure."
leadership,mentoring_junior,"Helped a junior engineer, new hire, or struggling teammate grow their skills and become more effective.","Mentored a new grad who was struggling with code quality and confidence. Pair programmed weekly, gave constructive feedback. Now they're a strong mid-level engineer.","Tell me about a time you mentored someone.","Situation: A junior engineer on the Facebook Ads team was technically capable but struggled in code reviews - she'd either accept all feedback without understanding or get defensive and argue every point. Her growth had stalled, she was frustrated, and senior engineers were avoiding reviewing her code.

Task: I took on mentoring her to develop her code review skills and professional communication.

Action: I started 'paired code reviews' - we'd review the same PR separately, then compare our feedback and discuss differences. This showed her what experienced engineers look for and why. When she got defensive, I helped her reframe: 'They're not attacking you; they're improving the code. Try asking: Can you help me understand why you prefer approach X?' I also taught her to separate style preferences from correctness issues. We met weekly for 4 months, and I gave her increasing responsibility - first reviewing my code, then other juniors' code.

Result: Within 5 months, she was doing independent reviews that senior engineers trusted. Her review comments became specific and constructive. She's now a senior engineer who other juniors specifically request as a reviewer. She thanked me in her promotion announcement. This experience taught me that technical skills are often not the blocker - communication and confidence are."
leadership,driving_initiative,"Proposed, championed, and drove adoption of a new tool, process, practice, or technology without having formal authority.","Proposed adopting a new testing framework after seeing too many production bugs. Built proof of concept, presented benefits, got buy-in, led the migration.","Tell me about a time you drove an initiative.","Situation: Meta had no consistent approach to API documentation across products - Facebook, Instagram, WhatsApp all had different formats, different tools, none auto-generated from code. External developers complained constantly, and internal teams wasted hours answering questions that docs should answer.

Task: I proposed and drove a unified API documentation initiative from zero to adoption across all three products.

Action: I wrote a proposal with goals (single doc format, auto-generated from code annotations, 80% developer satisfaction), resource needs (my 20% time + 2 volunteer engineers), and a rollout plan. I built a proof of concept using OpenAPI spec generation from our code annotations. I recruited 4 engineers across products who were frustrated with the current state. For teams resistant to change, I offered to do the initial migration myself - they'd just review. I handled logistics: set up the doc infrastructure, created annotation templates, and wrote a migration guide. I presented weekly progress to an executive sponsor I'd recruited.

Result: Launched unified docs covering 400+ API endpoints across all three products. Developer satisfaction went from 45% to 82% in 6 months. Support tickets about API usage dropped 60%. The initiative won an internal infrastructure award. I handed off maintenance to a newly formed Developer Experience team after establishing the process. This work was cited in my promotion to senior."
leadership,influencing_decision,"Convinced stakeholders, leadership, or peers to change direction or adopt your recommendation on an important decision.","Team was about to launch with a critical security flaw. I escalated, presented the risk clearly to leadership, and convinced them to delay launch by 2 weeks.","Tell me about a time you influenced a decision.","Situation: Leadership decided to rewrite the entire Instagram backend in a new language because it was 'the future of Meta infrastructure.' I believed this was a mistake - the rewrite would take 2+ years and our current backend wasn't the problem; our service architecture was. The real issues (latency, reliability) wouldn't be solved by a language change.

Task: I needed to influence a VP-level decision without formal authority and without appearing resistant to org direction.

Action: I didn't argue against the rewrite directly. Instead, I asked leadership what problems they were trying to solve. They said: slow development velocity, scaling issues, hiring challenges. I agreed these were real. I then analyzed whether the rewrite would actually solve them - and found it wouldn't address the architectural issues causing latency. I proposed an alternative: modular decomposition of our highest-latency services, which could be done in any language. I built a prototype showing we could fix the worst latency issue in 6 weeks instead of 24 months. I presented as 'a faster path to the same goals,' not 'you're wrong.'

Result: Leadership agreed to try the modular approach first. We fixed the latency issues in 4 months. The full rewrite was indefinitely postponed - we eventually adopted the new language for new services only. The VP later mentioned my 'data-driven alternative proposal' as exactly what they need from senior engineers. I was asked to join the architecture review board based on this work."
leadership,building_consensus,"Brought together people with different perspectives or conflicting interests to reach agreement and move forward.","Three teams had conflicting requirements for a shared platform. Facilitated workshops to understand each team's needs, found common ground, built solution all could accept.","Tell me about a time you built consensus.","Situation: Three teams at WhatsApp had different requirements for our new message storage system: Messages team wanted maximum write throughput, Search team wanted complex query support, and Backup team wanted cheap cold storage. Each was advocating strongly for their preference, and the discussions were going in circles.

Task: As the storage infrastructure lead, I needed to drive a decision all teams could support.

Action: I reframed the discussion from 'which design' to 'what requirements matter most.' I facilitated a session where we listed all requirements and had each team score importance 1-5. We agreed on weights before discussing any solutions. Then I evaluated 4 architectural options against our weighted requirements with input from each team. The scoring revealed: write throughput and query support were both critical, cold storage was important but not blocking. I proposed a tiered architecture: hot tier optimized for writes (Messages happy), warm tier with query indexes (Search happy), cold tier for old messages (Backup happy). Each team got their top priority.

Result: All three teams accepted the tiered approach because they'd participated in defining success criteria. Implementation went smoothly with no sabotage. The requirements-first framework became our standard for cross-team platform decisions. One team lead said 'I didn't get everything I wanted but I understand why, and I trust the process.'"
leadership,setting_direction,"Defined strategy, roadmap, or technical direction for a team or project that guided others' work.","Created 6-month technical roadmap for the platform team. Defined priorities, sequencing, and success metrics. Team used it to make daily decisions.","Tell me about a time you set direction.","Situation: Instagram's API team had no consistent standards - every service had different authentication patterns, error formats, rate limiting approaches, and versioning strategies. New engineers were confused, and every code review became a style debate. External developers integrating with us complained about inconsistency.

Task: I decided to establish API standards for Instagram that would guide all current and future development.

Action: I researched industry best practices and audited our existing APIs. I wrote an RFC proposing: consistent authentication (OAuth 2.0), standard error format (RFC 7807), unified rate limiting with clear headers, and semantic versioning. I circulated for feedback for 3 weeks, held office hours, and incorporated suggestions - several engineers raised valid edge cases I'd missed. I addressed concerns 1:1 rather than in large meetings where people might be defensive. I committed to migrating two of my own APIs first as reference implementations.

Result: RFC approved with team consensus after 4 weeks of iteration. I migrated my APIs in 3 weeks as the reference. Over 6 months, the team standardized all public APIs. Code review discussions shifted from style to substance. New engineer onboarding time for API work dropped 50%. Three other product teams adopted our standards. External developer satisfaction with our APIs increased from 3.2 to 4.4 out of 5."
leadership,raising_the_bar,"Improved team practices, quality standards, code quality, or engineering culture to make everyone more effective.","Introduced code review guidelines and quality checklists. Bug rate dropped 30%, and reviews became more consistent and less contentious.","Tell me about a time you raised the bar for your team.","Situation: Our Facebook Marketplace team's code quality was inconsistent - some engineers wrote comprehensive tests, others wrote none. Code reviews were rubber stamps. We were shipping bugs that basic testing would have caught, spending 30% of our time on bug fixes instead of new features.

Task: I wanted to establish testing as a non-negotiable standard, not just a nice-to-have.

Action: First, I made sure I was the example - I wrote comprehensive tests for all my code and pointed to them in reviews. I proposed a concrete standard: 80% coverage for new code, no PR merged without tests for changed logic, integration tests required for any user-facing flow. To make this achievable, I wrote testing utilities that made common Marketplace patterns easy to test in 5 lines instead of 50. I offered to pair with anyone struggling. In code reviews, I consistently asked 'how is this tested?' rather than just approving. I tracked and shared metrics monthly on test coverage and bug escape rate.

Result: Coverage went from 35% to 88% over 5 months. Production bugs dropped 65%. Initially there was grumbling about slower velocity, but when we stopped having weekly fire drills, the team embraced it. Two engineers told me they'd learned to value testing because of this experience. The testing utilities I built were adopted by 5 other Marketplace-adjacent teams. I was asked to present our testing transformation at an engineering all-hands."
leadership,leading_through_crisis,"Led, coordinated, or kept the team focused during an incident, crisis, outage, or high-pressure situation.","Led the response during a 4-hour outage affecting all customers. Coordinated 6 engineers, kept stakeholders informed, and drove systematic debugging until resolution.","Tell me about a time you led through a crisis.","Situation: During Thanksgiving peak traffic, Facebook Marketplace's checkout system went down for 90 minutes. We were losing an estimated $500K per hour in GMV. Engineers were panicking, Slack had 5 different threads with conflicting information, and nobody knew who was doing what.

Task: As the senior engineer on-call, I needed to bring order to chaos and restore service as fast as possible.

Action: I took explicit command in the incident channel: 'I'm leading this incident. Please mute unless I ask for input.' I assigned clear roles: one engineer on rollback investigation, one on database queries, one on customer communications, one on load balancer logs. I created a single war room Zoom and archived other threads. Every 10 minutes I posted status to an exec channel so leadership wouldn't interrupt us. When we identified the cause (a caching bug triggered by a traffic spike pattern we'd never seen), I made the call to restart with 50% capacity rather than wait for the full fix - get revenue flowing, then fix properly.

Result: Restored service in 40 minutes at 50% capacity, full service at 90 minutes. Total revenue impact: $750K instead of the $3M+ it would have been at the original trajectory. The incident process I ran became Marketplace's template. I documented it and trained 8 other engineers on incident command. The VP of Commerce mentioned the response as 'exactly how incidents should be handled.' I was asked to lead incident commander training org-wide."
leadership,unpopular_decision,"Made or advocated for a decision you knew would be unpopular but believed was right for the team or company.","Recommended canceling a feature that the team had worked on for 2 months because user research showed no one wanted it. Team was upset but it was the right call.","Tell me about a time you made an unpopular decision.","Situation: Our Instagram team had a beloved 'hack week' where engineers could work on any project. But we'd missed commitments 3 quarters in a row, and stakeholders were frustrated. As tech lead, I believed we needed to pause hack week until we rebuilt credibility.

Task: I needed to make and communicate a decision I knew the team would strongly dislike.

Action: I didn't decide unilaterally. I shared the data with the team: we'd missed 8 of 12 quarterly commitments over the past year, and leadership was considering staffing changes. I explained the stakeholder feedback verbatim. I proposed pausing hack week for 2 quarters while we rebuilt trust, with a firm commitment to reinstate it once we hit 3 consecutive quarters of commitments. I also offered alternatives: protected 'innovation time' on Fridays (less disruptive) and a commitment to rotate 1 engineer per quarter to exploratory work. I was transparent that this was my recommendation and I understood the team disagreed.

Result: Team was disappointed but appreciated the transparency and the alternatives. We hit our commitments for 3 straight quarters. I reinstated hack week as promised. The team's trust in my leadership increased because I followed through on both the pause and the reinstatement. One engineer said 'I hated losing hack week but I respect that you were direct about why and kept your promise.' We've now hit commitments for 5 straight quarters while maintaining hack week."
execution,tight_deadline,"Delivered a project or feature under extreme time pressure. Required focus, prioritization, and possibly cutting scope or working intensively.","Had 2 weeks to build a critical feature for a major partner launch. Normal timeline would be 6 weeks. Failure meant losing a $5M deal.","Tell me about a time you had to meet a tight deadline.","Situation: Instagram needed to launch a 'Close Friends' sharing feature for Stories before a competitor's similar feature went public. We had 3 weeks instead of the normal 8-week timeline. Marketing had already briefed press with an embargo date.

Task: I needed to deliver a production-ready feature in 3 weeks that would normally take 8, without compromising user privacy or stability.

Action: I immediately mapped the critical path and identified what could be cut. Core sharing to a Close Friends list: must have. Editing the list from Stories: nice to have - we could launch with settings-only editing. I proposed this scope reduction to product, who agreed. I then parallelized work: I took the backend API and list management while another engineer handled the UI. We did daily 15-minute syncs instead of waiting for blockers. I made the call to use an existing notification system rather than build custom, accepting slightly slower delivery notifications. I also negotiated with QA for focused testing on the critical paths only, with broader testing post-launch.

Result: Launched 2 days before the embargo deadline. Feature was stable - zero P0 bugs in the first week. Close Friends became one of Instagram's most-used sharing features, with 40% of daily Story creators using it within 3 months. The editing-from-Stories feature shipped 3 weeks later as planned. My manager cited this as an example of 'smart scope management under pressure.'"
execution,complex_project,"Led or significantly contributed to a technically challenging project involving complex systems, scale, or novel problems.","Built a real-time data pipeline handling 1M events per second with sub-100ms latency requirements. Required custom solutions as no off-the-shelf tools met our needs.","Tell me about your most technically challenging project.","Situation: Facebook needed to rebuild the News Feed ranking system to support real-time personalization - updating what users see within seconds of their interactions, not hours. The existing batch system processed 500B interactions daily but with 6-hour latency. We needed sub-minute latency at the same scale.

Task: I was the tech lead responsible for designing and delivering a system that could process 500B daily events with sub-60-second end-to-end latency, while maintaining ranking quality.

Action: I spent 3 weeks prototyping different architectures. The key insight was that we didn't need real-time processing for ALL signals - only the high-value ones like recent likes and comments. I designed a hybrid system: a streaming layer for high-value signals (using Kafka + custom processors) feeding into the existing batch infrastructure. The hardest part was handling late-arriving data without double-counting. I invented a 'watermark reconciliation' approach that tracked which events had been processed in each system. I wrote the core streaming processor myself and coordinated 4 other engineers on the integration work. We ran shadow mode for 3 weeks, comparing outputs to the batch system.

Result: Launched to 100% of users after 4 months. Achieved 45-second median latency for high-value signals. Engagement metrics improved 2.3% because users saw more relevant content faster. The hybrid architecture became the template for 3 other ranking systems at Meta. I presented the design at an internal tech conference and was promoted to staff engineer with this project as the primary evidence."
execution,ambiguous_requirements,"Successfully delivered despite unclear, incomplete, or frequently changing requirements. Required making decisions with imperfect information.","PM had only a rough idea of what customers wanted. Built MVP based on assumptions, gathered feedback weekly, and iterated. Final product was different from initial spec.","Tell me about a time you delivered with unclear requirements.","Situation: Leadership asked my team to 'improve creator monetization on Reels' with no specific metrics, no defined features, and conflicting input from different stakeholders. Some wanted tipping, others wanted ad revenue sharing, others wanted brand partnerships. We had one quarter to show results.

Task: I needed to make progress and deliver value despite having no clear requirements or success criteria.

Action: Instead of waiting for clarity, I defined it myself. I interviewed 15 creators to understand their actual pain points - turns out most didn't care about new monetization methods; they wanted better analytics on their existing earnings. I proposed a 2-week sprint to build a creator earnings dashboard as an MVP. I set my own success metrics: 50% weekly active usage among monetizing creators. I built the MVP with one other engineer while continuing to gather feedback. When stakeholders pushed for tipping features, I showed them the creator interview data and proposed tipping as v2 after we validated the dashboard.

Result: Dashboard launched in 3 weeks with 67% weekly active usage - exceeding my target. Creator support tickets about earnings dropped 40%. Leadership appreciated that I'd 'found the real problem.' We built tipping in Q2, informed by dashboard usage data. My approach of 'define clarity when none exists' became a model for other ambiguous projects."
execution,limited_resources,"Delivered results with significantly constrained team size, budget, time, or tooling compared to what the project normally required.","Had only 2 engineers to build a system that comparable companies staffed with teams of 8-10. Had to make smart trade-offs on scope and approach.","Tell me about a time you delivered with limited resources.","Situation: WhatsApp needed to build an enterprise API for businesses to send customer service messages, but we only had 2 engineers (including me) while competitors had teams of 10+. We had 4 months to launch or lose major enterprise customers to competitors.

Task: I needed to deliver a production-ready API with 2 engineers that would normally require 10, without cutting corners on reliability.

Action: I made ruthless prioritization decisions. Instead of building custom infrastructure, I leveraged existing WhatsApp message routing - this saved 2 months of work. I chose to support only the top 3 use cases (order confirmations, shipping updates, appointment reminders) instead of the 12 the PM wanted. I automated everything possible: deployment, testing, monitoring setup. I also made the controversial call to launch with rate limits that were lower than competitors, knowing we could increase them later. I documented extensively so we wouldn't lose knowledge if either of us left.

Result: Launched on time with 2 engineers. Signed 50 enterprise customers in the first quarter including 3 Fortune 500 companies. Revenue exceeded projections by 40%. We gradually expanded to all 12 use cases over the next year as we hired more engineers. The 'leverage existing infra' approach became a principle for new WhatsApp features."
execution,legacy_system,"Successfully worked with an old, poorly documented, or fragile codebase. Required patience, detective work, and careful changes.","Had to add critical features to a 10-year-old system with no tests, no documentation, and the original authors long gone. Any change risked breaking everything.","Tell me about a time you worked with a legacy system.","Situation: Facebook's photo storage system was 12 years old with no documentation, no tests, and the original authors had left. We needed to add support for HEIC format (iPhone's default) but any change risked corrupting billions of existing photos. The last engineer who tried to modify it caused a 3-hour outage.

Task: I volunteered to add HEIC support to a system everyone else was afraid to touch.

Action: I spent 3 weeks just reading code and mapping the system before writing any changes. I created documentation as I went - the first docs this system had in years. I identified the riskiest parts: a format detection function that used magic bytes in ways I didn't fully understand. Instead of modifying it, I added HEIC as a new code path that couldn't affect existing formats. I wrote comprehensive tests for my changes AND retroactively for the parts I touched. I set up a shadow pipeline that processed real uploads through my code without saving, comparing outputs to production for 2 weeks. I also created a rollback plan with specific metrics that would trigger automatic reversion.

Result: Launched HEIC support with zero incidents. My documentation became the onboarding guide for new engineers. The testing patterns I established were applied to other legacy systems. 6 months later, another engineer successfully added WebP support using my approach. My manager said this project demonstrated 'senior engineering judgment' in how I de-risked the work."
execution,cross_team_coordination,"Coordinated work across multiple teams, possibly across time zones or organizations, to deliver a shared outcome.","Aligned 4 teams across 3 time zones for a platform migration. Required weekly syncs, clear interfaces, and constant communication to stay on track.","Tell me about a time you coordinated across multiple teams.","Situation: Meta was migrating all products to a new authentication system. For Instagram, this required coordinating iOS (Menlo Park), Android (NYC), Backend (London), and Security (Tel Aviv) - 4 teams across 4 time zones, none of whom reported to me.

Task: I was asked to coordinate the Instagram migration because I had relationships across all teams from previous projects.

Action: I created a single source of truth: a shared doc with every team's deliverables, dependencies, and blockers, updated daily. I scheduled one weekly sync at a time that worked for everyone (6am PT / 2pm London / 4pm Tel Aviv) and made it efficient - 25 minutes max with async pre-reads. For each team, I identified their biggest concern and addressed it: iOS worried about app size increase, so I worked with them on lazy loading; Backend worried about latency, so I ran benchmarks. When conflicts arose, I resolved them 1:1 before they became public disagreements. I also created a private Slack channel with all tech leads for fast escalation.

Result: Completed migration in 12 weeks, 2 weeks ahead of schedule. Zero user-facing incidents during cutover. This was the smoothest of all product migrations - Facebook and WhatsApp both had issues. My coordination approach was documented and used for subsequent cross-team projects. The Security team lead specifically thanked me for 'making them feel included despite the time zone.'"
execution,high_stakes,"Worked on a project where failure would have significant business, customer, or safety impact. Required extra diligence and stress management.","Built the payment processing system handling $10M in daily transactions. Any bug could mean lost money or regulatory issues. Zero tolerance for errors.","Tell me about a high-stakes project you worked on.","Situation: I was responsible for rebuilding Facebook Pay's transaction reconciliation system. This system verified that $50M+ in daily transactions matched between our systems and payment processors. Any bug could mean users losing money or regulatory violations in 40 countries.

Task: I needed to rebuild the system to support new payment methods while maintaining 100% accuracy on financial reconciliation - there was zero tolerance for errors.

Action: I approached this with extreme caution. Before writing any code, I spent 2 weeks documenting every edge case in the existing system by reading years of incident reports. I implemented triple-redundancy: my new system, the old system, and an independent audit job all had to agree before any reconciliation was finalized. I wrote 400+ unit tests covering every currency, payment method, and edge case I'd documented. I ran parallel processing for 6 weeks, manually reviewing every discrepancy (there were 47, all explainable). I created runbooks for every possible failure scenario. I also insisted on a phased rollout: 1% of transactions for 2 weeks before increasing.

Result: Zero reconciliation errors in 18 months since launch. Successfully supported 3 new payment method launches. Passed regulatory audits in EU, US, and Brazil with no findings. The testing approach I developed became the standard for all financial systems at Meta. I was recognized with a 'financial integrity' award from the payments team."
execution,operational_excellence,"Improved reliability, reduced incidents, or enhanced operational practices for a system or team.","Reduced on-call pages by 70% by identifying recurring issues, fixing root causes, and adding better monitoring and runbooks.","Tell me about a time you improved system reliability.","Situation: Instagram's Direct Messaging service was paging on-call engineers 15-20 times per week. Engineers were burned out, and each page cost an average of 2 hours of investigation. Most pages were false alarms or known issues without runbooks.

Task: I volunteered to fix the operational health of DMs, even though it wasn't my team's system.

Action: I started with data: I categorized 3 months of pages by root cause. Found that 60% were false alarms from overly sensitive alerts, 25% were the same 5 recurring issues, and 15% were genuine novel problems. For false alarms, I tuned alert thresholds based on actual user impact, not arbitrary metrics. For recurring issues, I wrote runbooks and automated the most common fixes. For one issue that paged weekly, I fixed the underlying bug rather than just documenting the workaround. I also created a 'page review' process: every page got categorized and if we saw the same issue 3 times, we had to either fix it or document why we couldn't.

Result: On-call pages dropped from 18/week to 4/week within 2 months. Engineer satisfaction on the on-call survey improved from 2.1 to 4.2 out of 5. Mean time to resolution dropped 60% because of runbooks. The 'page review' process was adopted by 6 other Instagram teams. I was asked to present the approach at an infrastructure all-hands."
problem_solving,debugging_complex_issue,"Found the root cause of a difficult, intermittent, or mysterious bug or performance problem. Required systematic investigation and persistence.","Users reported intermittent failures that only happened in production under high load. Took 3 weeks of adding instrumentation and analyzing logs to find a race condition.","Tell me about the hardest bug you had to debug.","Situation: Instagram users reported that Stories occasionally showed a black screen instead of content, but only for about 0.1% of views. The issue had existed for months but nobody could reproduce it. It was affecting millions of Story views daily.

Task: I volunteered to investigate this bug that three other engineers had given up on.

Action: Since I could not reproduce it locally, I added extensive logging to production, tracking every step of the Story rendering pipeline. After 2 weeks of data collection, I noticed the failures correlated with specific device models and network conditions. I narrowed it down to a race condition: when a user had slow network and scrolled quickly, we would start loading Story B before Story A finished, and a shared buffer would get corrupted. The fix was not obvious because the buffer was designed to be thread safe, but there was a 3 millisecond window during buffer resize where it was not. I wrote a reproduction test that simulated the exact timing and confirmed the race condition.

Result: Fixed a bug that had affected 2 million Story views daily for 8 months. Black screen reports dropped to near zero. I documented the debugging methodology and presented it at an engineering lunch and learn. The systematic logging approach I developed was added to our debugging playbook for intermittent issues."
problem_solving,system_design_challenge,"Designed a solution for a complex technical problem balancing requirements like scale, latency, cost, and maintainability.","Designed a caching layer that reduced p99 latency from 800ms to 100ms while handling 10x traffic growth. Required careful invalidation strategy.","Tell me about a complex system you designed.","Situation: Facebook Marketplace needed a new search ranking system that could personalize results for 1 billion users while maintaining sub 200ms latency. The existing system was one size fits all and our search conversion was 30% below competitors.

Task: I was responsible for designing a system that could serve personalized rankings at scale without blowing up our infrastructure costs.

Action: I explored three approaches: real time personalization (accurate but expensive), precomputed rankings (cheap but stale), and a hybrid. The key insight was that 80% of personalization value came from just 5 signals that changed slowly (location, price preference, category affinity). I designed a system with two layers: a precomputed layer that updated user preferences daily, and a lightweight real time layer that only adjusted for recency signals. I prototyped each approach with 1% of traffic to validate latency and relevance tradeoffs. I also designed the system to gracefully degrade if the real time layer failed, falling back to precomputed results.

Result: Launched to 100% of Marketplace users. Search conversion improved 18%, exceeding the 15% goal. P99 latency stayed under 150ms. Infrastructure costs were only 20% higher than the non personalized system, versus the 300% increase the pure real time approach would have required. The two layer architecture pattern was adopted by two other ranking systems at Meta."
problem_solving,optimization,"Significantly improved performance, reduced costs, or increased efficiency of an existing system through analysis and targeted changes.","Reduced our AWS bill by 40% ($200K annually) by analyzing query patterns, adding indexes, and rightsizing instances without impacting performance.","Tell me about a time you optimized a system.","Situation: WhatsApp's media transcoding service was costing $8M annually in compute, and costs were growing 20% per quarter as video messaging increased. Leadership asked if we could reduce costs without affecting user experience.

Task: I was assigned to find at least 20% cost savings in the transcoding pipeline.

Action: I started by profiling where compute time actually went. Found that 40% of transcoding jobs were for videos that were never viewed because users deleted messages before recipients opened them. I proposed a lazy transcoding approach: store the original video first and only transcode when the recipient actually opens the message. For the 60% that were viewed, I analyzed codec efficiency and found we were using conservative settings that produced larger files than necessary. I ran quality tests with 100 users comparing old and new settings, and nobody could tell the difference. I also identified that 15% of transcodings were duplicates because the same video was sent to multiple recipients.

Result: Total cost reduction of 45%, saving $3.6M annually. User experience metrics (video load time, quality ratings) were unchanged. The lazy transcoding pattern was adopted by Instagram for their video processing. I was recognized in the cost efficiency awards that quarter."
problem_solving,data_driven_decision,"Used data, metrics, experiments, or analysis to drive a technical or product decision rather than relying on intuition.","A/B tested two implementation approaches with 5% of traffic each. Approach B showed 15% better conversion and 20% lower latency. Data made the decision clear.","Tell me about a time you used data to make a decision.","Situation: Our team was debating whether to rebuild Instagram's comment system from scratch or incrementally refactor it. The tech lead favored a full rebuild for cleaner architecture. I was skeptical it was worth the 6 month investment.

Task: I needed to bring data to the discussion instead of just opinions.

Action: I spent a week analyzing the actual problems with the current system. I categorized all comment related bugs from the past year and found that 70% came from just 2 modules, not the overall architecture. I measured development velocity by looking at how long comment features took to ship compared to similar features in other systems. The data showed we were only 15% slower, not the 50% the rebuild advocates claimed. I also estimated rebuild risk by looking at Meta's history of rewrites, finding that 60% took longer than estimated and 30% were eventually abandoned. I presented this analysis to the team with a counter proposal: targeted refactoring of the 2 problematic modules.

Result: Team agreed to the targeted approach based on the data. We refactored the two modules in 8 weeks instead of 6 months. Bug rate dropped 65%. Development velocity improved 20%, close to what the full rebuild promised. My approach of quantifying the actual problem before proposing solutions became a template for future technical decisions."
problem_solving,root_cause_analysis,"Investigated a recurring problem to find and fix the underlying cause rather than just addressing symptoms.","We kept having the same type of outage every few weeks. Investigated systematically and found all incidents traced to connection pool exhaustion under specific conditions.","Tell me about a time you did root cause analysis.","Situation: Facebook Ads serving had mysterious latency spikes every Tuesday and Thursday afternoon, causing ad delivery to slow down during peak advertiser hours. The on call team had been restarting servers to fix it for 3 months, but nobody knew the root cause.

Task: I decided to investigate and find the actual root cause instead of continuing to treat symptoms.

Action: I correlated the spikes with every possible variable: traffic patterns, deployments, batch jobs, external dependencies. I found the spikes coincided with our ML model refresh jobs, but the model team said their jobs finished hours before the spikes. I dug deeper and discovered the model files were loaded lazily on first request after refresh. Tuesday and Thursday were when we refreshed our two largest models. The first requests after refresh were triggering cold loads that blocked the request threads. The fix was not just prewarming, we needed to load new models in the background while old models continued serving, then swap atomically.

Result: Implemented background model loading with atomic swaps. Tuesday and Thursday latency spikes disappeared completely. Ad serving p99 latency improved 35% because we eliminated all cold load scenarios, not just the bi weekly ones. The pattern was adopted across all ML serving systems at Meta. I presented the investigation methodology at an ads engineering all hands."
problem_solving,trade_off_decision,"Made a difficult technical decision that required balancing competing concerns with no perfect answer.","Chose eventual consistency over strong consistency for the notification system. Meant occasional duplicate notifications but enabled 10x scale at much lower cost.","Tell me about a difficult trade-off you had to make.","Situation: Instagram was launching shopping checkout and needed to decide on the consistency model for inventory management. Strong consistency meant no overselling but higher latency and cost. Eventual consistency meant faster checkout but risk of selling items that were already sold.

Task: I needed to make a recommendation knowing there was no perfect answer and both options had real downsides.

Action: I quantified both sides. I analyzed our traffic patterns and found that 99.9% of items had inventory levels where overselling was essentially impossible (more than 100 units). For the 0.1% with low inventory, I calculated the expected oversell rate with eventual consistency: about 50 orders per day out of 500,000. I then analyzed the business impact: oversold orders cost us $15 average in refunds and customer service, totaling $750 per day. Strong consistency would add 200ms latency, which our data showed would reduce checkout completion by 3%, costing roughly $50,000 per day in lost sales. I also proposed a hybrid: eventual consistency for high inventory items, strong consistency only for items with fewer than 10 units.

Result: Team adopted the hybrid approach based on my analysis. We captured 97% of the speed benefit while limiting oversells to approximately 5 per day. Total business impact was $45,000 per day better than pure strong consistency. When we did oversell, we had an automated system to offer customers alternatives with a 10% discount, turning 60% of oversells into successful orders anyway."
problem_solving,innovative_solution,"Came up with a creative or novel solution to a problem that others had struggled with or accepted as unsolvable.","Team accepted 30-minute deploy times as normal. I proposed and built a parallel build pipeline that cut deploys to 3 minutes, changing how often we could ship.","Tell me about a time you came up with an innovative solution.","Situation: Instagram's Explore page had a cold start problem: new users got generic recommendations that performed poorly, leading to 40% higher churn in the first week compared to established users. Previous attempts to solve this with onboarding surveys had failed because users skipped them.

Task: I was challenged to find a way to personalize Explore for new users without requiring any explicit input from them.

Action: I realized we were ignoring valuable signal: the content users engaged with during their first session, before we had any personalization. I proposed a rapid learning system that would update recommendations after every single interaction in real time during the first 24 hours, instead of waiting for daily batch updates. The technical challenge was doing this without overwhelming our ML infrastructure. My innovation was a lightweight embedding model that could run client side on the phone, generating interest signals that we would send to the server to adjust rankings immediately. This avoided the round trip latency of server side inference.

Result: New user engagement on Explore improved 25% in the first week. First week retention improved 8%. The client side embedding approach was novel enough that we filed a patent. The technique was later adopted for Instagram Reels recommendations. This project was highlighted in my promotion packet as demonstrating innovation beyond normal senior engineering work."
